"project_code","plotid","image_year","image_julday","dominant_landuse","dominant_landcover","change_process","change_process_notes","interpreter"
"Austria",1,1984,218,"Other","Non-tree","","",131
"Austria",1,2016,217,"Other","Non-tree","Stable","",131
"Austria",2,1984,248,"Forest","Trees","","",131
"Austria",2,2016,215,"Forest","Trees","Stable","",131
"Austria",3,1984,218,"Forest","Trees","","",131
"Austria",3,1999,212,"Forest","Trees","Stable","",131
"Austria",3,2000,215,"Forest","Non-tree","Harvest","clearcut",131
"Austria",3,2016,226,"Forest","Non-tree","Growth/Recovery","",131
"Austria",4,1984,218,"Other","Non-tree","","",131
"Austria",4,2016,203,"Other","Non-tree","Stable","",131
"Austria",5,1984,218,"Forest","Trees","","",131
"Austria",5,2016,258,"Forest","Trees","Stable","",131
"Austria",6,1984,193,"Other","Non-tree","","",131
"Austria",6,2016,217,"Other","Non-tree","Stable","",131
"Austria",7,1984,218,"Other","Non-tree","","",131
"Austria",7,2016,211,"Other","Non-tree","Stable","",131
"Austria",8,1984,193,"Forest","Non-tree","","",131
"Austria",8,2016,217,"Forest","Non-tree","Stable","",131
"Austria",9,1984,193,"Forest","Trees","","",131
"Austria",9,2016,217,"Forest","Trees","Stable","",131
"Austria",10,1984,218,"Forest","Trees","","",131
"Austria",10,2016,201,"Forest","Trees","Stable","",131
"Austria",11,1984,193,"Other","Non-tree","","",131
"Austria",11,2016,209,"Other","Non-tree","Stable","",131
"Austria",12,1984,193,"Other","Non-tree","","",131
"Austria",12,2016,201,"Other","Non-tree","Stable","",131
"Austria",13,1985,266,"Other","Non-tree","","",131
"Austria",13,2016,215,"Other","Non-tree","Stable","",131
"Austria",14,1984,193,"Forest","Trees","","",131
"Austria",14,2016,217,"Forest","Trees","Stable","thinning",131
"Austria",15,1984,218,"Forest","Trees","","",131
"Austria",15,2016,178,"Forest","Trees","Stable","",131
"Austria",16,1984,193,"Forest","Trees","","",131
"Austria",16,2016,217,"Forest","Trees","Stable","",131
"Austria",17,1984,218,"Other","Non-tree","","",131
"Austria",17,2016,217,"Other","Non-tree","Stable","",131
"Austria",18,1984,193,"Forest","Trees","","",131
"Austria",18,1993,208,"Forest","Trees","Stable","",131
"Austria",18,1994,211,"Forest","Non-tree","Harvest","clearcut",131
"Austria",18,2015,213,"Forest","Trees","Stable","",131
"Austria",19,1984,248,"Forest","Trees","","",131
"Austria",19,2016,216,"Forest","Trees","Stable","",131
"Austria",20,1984,218,"Forest","Trees","","",131
"Austria",20,1996,226,"Forest","Trees","Stable","",131
"Austria",20,1997,212,"Forest","Trees","Harvest","thinning",131
"Austria",20,2016,202,"Forest","Trees","Stable","",131
"Austria",21,1984,234,"Other","Trees","","",131
"Austria",21,2016,217,"Other","Trees","Stable","",131
"Austria",22,1984,193,"Other","Non-tree","","",131
"Austria",22,2016,224,"Other","Non-tree","Stable","",131
"Austria",23,1984,218,"Other","Non-tree","","",131
"Austria",23,2016,209,"Other","Non-tree","Stable","",131
"Austria",24,1984,193,"Other","Non-tree","","",131
"Austria",24,2016,217,"Other","Non-tree","Stable","",131
"Austria",25,1984,193,"Other","Non-tree","","",131
"Austria",25,2016,201,"Other","Non-tree","Stable","",131
"Austria",26,1984,218,"Forest","Trees","","",131
"Austria",26,2016,194,"Forest","Trees","Stable","",131
"Austria",27,1984,257,"Other","Non-tree","","",131
"Austria",27,2016,233,"Other","Non-tree","Stable","",131
"Austria",28,1984,234,"Forest","Trees","","",131
"Austria",28,2016,209,"Forest","Trees","Stable","",131
"Austria",29,1984,193,"Other","Non-tree","","",131
"Austria",29,2016,201,"Other","Non-tree","Stable","",131
"Austria",30,1984,218,"Forest","Trees","","",131
"Austria",30,2016,217,"Forest","Trees","Stable","",131
"Austria",31,1984,218,"Other","Non-tree","","",131
"Austria",31,2016,186,"Other","Non-tree","Stable","",131
"Austria",32,1984,218,"Other","Non-tree","","",131
"Austria",32,2016,203,"Other","Non-tree","Stable","",131
"Austria",33,1984,218,"Forest","Trees","","",131
"Austria",33,2016,217,"Forest","Trees","Stable","",131
"Austria",34,1984,193,"Forest","Trees","","",131
"Austria",34,2016,217,"Forest","Trees","Stable","",131
"Austria",35,1984,218,"Forest","Trees","","",131
"Austria",35,2016,226,"Forest","Trees","Stable","",131
"Austria",36,1984,218,"Forest","Trees","","",131
"Austria",36,2002,243,"Forest","Trees","Stable","",131
"Austria",36,2004,217,"Forest","Non-tree","Harvest","clearcut|sanitation",131
"Austria",36,2011,235,"Forest","Non-tree","Growth/Recovery","",131
"Austria",36,2016,241,"Forest","Trees","Stable","",131
"Austria",37,1984,218,"Other","Non-tree","","",131
"Austria",37,2016,218,"Other","Non-tree","Stable","",131
"Austria",38,1984,193,"Other","Non-tree","","",131
"Austria",38,2016,201,"Other","Non-tree","Stable","",131
"Austria",39,1984,218,"Other","Non-tree","","",131
"Austria",39,2016,219,"Other","Non-tree","Stable","",131
"Austria",40,1984,218,"Forest","Trees","","",131
"Austria",40,2016,226,"Forest","Trees","Stable","",131
"Austria",41,1984,193,"Forest","Trees","","",131
"Austria",41,1993,217,"Forest","Trees","Stable","",131
"Austria",41,1995,223,"Forest","Trees","Harvest","thinning",131
"Austria",41,2016,201,"Forest","Trees","Stable","",131
"Austria",42,1985,234,"Other","Non-tree","","",131
"Austria",42,2016,192,"Other","Non-tree","Stable","",131
"Austria",43,1984,248,"Other","Non-tree","","",131
"Austria",43,2016,200,"Other","Non-tree","Stable","",131
"Austria",44,1984,248,"Forest","Trees","","",131
"Austria",44,2016,231,"Forest","Trees","Stable","",131
"Austria",45,1984,241,"Other","Non-tree","","",131
"Austria",45,2016,216,"Other","Non-tree","Stable","",131
"Austria",46,1985,234,"Forest","Trees","","",131
"Austria",46,2010,216,"Forest","Trees","Stable","",131
"Austria",46,2011,226,"Forest","Trees","Harvest","clearcut",131
"Austria",46,2016,201,"Forest","Trees","Growth/Recovery","",131
"Austria",47,1984,218,"Other","Non-tree","","",131
"Austria",47,2016,202,"Other","Non-tree","Stable","",131
"Austria",48,1984,234,"Forest","Trees","","",131
"Austria",48,2015,222,"Forest","Trees","Stable","",131
"Austria",49,1984,193,"Forest","Trees","","",131
"Austria",49,2016,217,"Forest","Trees","Stable","",131
"Austria",50,1984,218,"Forest","Trees","","",131
"Austria",50,2002,243,"Forest","Trees","Stable","",131
"Austria",50,2004,216,"Forest","Trees","Harvest","thinning",131
"Austria",50,2006,221,"Forest","Trees","Growth/Recovery","",131
"Austria",50,2007,217,"Forest","Non-tree","Harvest","",131
"Austria",50,2016,217,"Forest","Non-tree","Growth/Recovery","",131
"Austria",51,1984,218,"Other","Non-tree","","",131
"Austria",51,2016,211,"Other","Non-tree","Stable","",131
"Austria",52,1984,218,"Other","Non-tree","","",131
"Austria",52,2016,194,"Other","Non-tree","Stable","",131
"Austria",53,1984,218,"Other","Non-tree","","",131
"Austria",53,2016,209,"Other","Non-tree","Stable","",131
"Austria",54,1984,193,"Forest","Trees","","",131
"Austria",54,2016,216,"Forest","Trees","Stable","",131
"Austria",55,1984,234,"Forest","Trees","","",131
"Austria",55,2016,233,"Forest","Trees","Stable","",131
"Austria",56,1984,248,"Other","Non-tree","","",131
"Austria",56,2016,232,"Other","Non-tree","Stable","",131
"Austria",57,1984,234,"Forest","Trees","","",131
"Austria",57,2001,208,"Forest","Trees","Stable","",131
"Austria",57,2003,222,"Forest","Non-tree","Harvest","clearcut",131
"Austria",57,2008,211,"Forest","Non-tree","Growth/Recovery","",131
"Austria",57,2016,217,"Forest","Trees","Stable","",131
"Austria",58,1984,218,"Other","Non-tree","","",131
"Austria",58,2016,209,"Other","Non-tree","Stable","",131
"Austria",59,1984,218,"Other","Non-tree","","",131
"Austria",59,2016,202,"Other","Non-tree","Stable","",131
"Austria",60,1984,193,"Forest","Trees","","",131
"Austria",60,2016,209,"Forest","Trees","Stable","",131
"Austria",61,1984,234,"Forest","Trees","","",131
"Austria",61,2016,217,"Forest","Trees","Stable","",131
